SEASON,TEAM,AGE,GP,GS,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
2022-23,LAL,38,55,54,35.5,28.9,11.1,22.2,50.0,2.2,6.9,32.1,4.6,5.9,76.8,1.2,7.1,8.3,6.8,0.9,0.6,3.2,1.6
2021-22,LAL,37,56,56,37.2,30.3,11.4,21.8,52.4,2.9,8.0,35.9,4.5,6.0,75.6,1.1,7.1,8.2,6.2,1.3,1.1,3.5,2.2
2020-21,LAL,36,45,45,33.4,25.0,9.4,18.3,51.3,2.3,6.3,36.5,4.0,5.7,69.8,0.6,7.0,7.7,7.8,1.1,0.6,3.7,1.6
2019-20,LAL,35,67,67,34.6,25.3,9.6,19.4,49.3,2.2,6.3,34.8,3.9,5.7,69.3,1.0,6.9,7.8,10.2,1.2,0.5,3.9,1.8
2018-19,LAL,34,55,55,35.2,27.4,10.1,19.9,51.0,2.0,5.9,33.9,5.1,7.6,66.5,1.0,7.4,8.5,8.3,1.3,0.6,3.6,1.7
2017-18,CLE,33,82,82,36.9,27.5,10.5,19.3,54.2,1.8,5.0,36.7,4.7,6.5,73.1,1.2,7.5,8.6,9.1,1.4,0.9,4.2,1.7
2016-17,CLE,32,74,74,37.8,26.4,9.9,18.2,54.8,1.7,4.6,36.3,4.8,7.2,67.4,1.3,7.3,8.6,8.7,1.2,0.6,4.1,1.8
2015-16,CLE,31,76,76,35.6,25.3,9.7,18.6,52.0,1.1,3.7,30.9,4.7,6.5,73.1,1.5,6.0,7.4,6.8,1.4,0.6,3.3,1.9
2014-15,CLE,30,69,69,36.1,25.3,9.0,18.5,48.8,1.7,4.9,35.4,5.4,7.7,71.0,0.7,5.3,6.0,7.4,1.6,0.7,3.9,2.0
2013-14,MIA,29,77,77,37.7,27.1,10.0,17.6,56.7,1.5,4.0,37.9,5.7,7.6,75.0,1.1,5.9,6.9,6.3,1.6,0.3,3.5,1.6
2012-13,MIA,28,76,76,37.9,26.8,10.1,17.8,56.5,1.4,3.3,40.6,5.3,7.0,75.3,1.3,6.8,8.0,7.3,1.7,0.9,3.0,1.4
2011-12,MIA,27,62,62,37.5,27.1,10.0,18.9,53.1,0.9,2.4,36.2,6.2,8.1,77.1,1.5,6.4,7.9,6.2,1.9,0.8,3.4,1.5
2010-11,MIA,26,79,79,38.8,26.7,9.6,18.8,51.0,1.2,3.5,33.0,6.4,8.4,75.9,1.0,6.5,7.5,7.0,1.6,0.6,3.6,2.1
2009-10,CLE,25,76,76,39.0,29.7,10.1,20.1,50.3,1.7,5.1,33.3,7.8,10.2,76.7,0.9,6.4,7.3,8.6,1.6,1.0,3.4,1.6
2008-09,CLE,24,81,81,37.7,28.4,9.7,19.9,48.9,1.6,4.7,34.4,7.3,9.4,78.0,1.3,6.3,7.6,7.2,1.7,1.1,3.0,1.7
2007-08,CLE,23,75,74,40.4,30.0,10.6,21.9,48.4,1.5,4.8,31.5,7.3,10.3,71.2,1.8,6.1,7.9,7.2,1.8,1.1,3.4,2.2
2006-07,CLE,22,78,78,40.9,27.3,9.9,20.8,47.6,1.3,4.0,31.9,6.3,9.0,69.8,1.1,5.7,6.7,6.0,1.6,0.7,3.2,2.2
2005-06,CLE,21,79,79,42.5,31.4,11.1,23.1,48.0,1.6,4.8,33.5,7.6,10.3,73.8,0.9,6.1,7.0,6.6,1.6,0.8,3.3,2.3
2004-05,CLE,20,80,80,42.3,27.2,9.9,21.1,47.2,1.4,3.9,35.1,6.0,8.0,75.0,1.4,6.0,7.4,7.2,2.2,0.7,3.3,1.8
2003-04,CLE,19,79,79,39.5,20.9,7.9,18.9,41.7,0.8,2.7,29.0,4.4,5.8,75.4,1.3,4.2,5.5,5.9,1.6,0.7,3.5,1.9
